Kabupaten,Untuk Mendapat Informasi/ Berita,Mendapat informasi mengenai barang/jasa,Untuk Mengirim/ Menerima E-Mail,Untuk Media Sosial/Jejaring Sosial,Untuk Pembelian Barang/Jasa,Untuk penjualan barang/jasa,Untuk Fasilitas Finansial (E- Banking),Untuk Pembelajaran Online,Untuk work from home (WFH)?,Untuk Hiburan,Untuk Pembuatan Konten Digital,Untuk Lainnya
Pacitan,81.76,31.15,6.1,73.72,18.19,5.13,6.68,8.03,0.81,84.01,0.42,6.77
Ponorogo,80.46,30.64,13.37,75.28,19.49,6.99,5.92,9.05,2.16,76.76,4.12,12.56
Trenggalek,84.21,20.03,6.17,73.93,16.17,6.14,6.2,11.85,2.04,84.02,4.27,4.45
Tulungagung,78.51,31,9.97,72.62,20.04,7.82,9.92,11.43,2.32,81.69,8.54,11.79
Kediri,71.69,14.84,8.16,67.56,12.25,5.36,3.78,9.78,1.26,80.31,1.36,3.11
Malang,74.87,22.27,7.32,75.89,14.06,5.27,6.34,9.62,0.64,77.78,2.68,4.51
Lumajang,79.77,24.28,6.11,74.61,16.91,5.89,4.88,11.67,0.73,86.48,3.7,10.25
Jember,72.34,19.45,8.68,71.59,15.68,5.87,6.49,7.61,1.74,80.52,3.13,5.79
Banyuwangi,76.45,24.82,11.01,83.15,16.9,5.62,8.08,12.46,1.83,84.9,8.09,3.45
Bondowoso,76.43,25.68,12.93,72.57,22.31,7.75,9.35,9.23,0.86,78.28,3.07,4.82
Situbondo,69.65,20.46,7.96,65.78,16.51,4.71,5.17,10.67,3.62,86.2,0.81,3.88
Probolinggo,71.46,19.34,8,69.21,17.16,4.96,4.11,11.9,1.48,80.39,3.96,7.9
Pasuruan,77.3,16.02,7.62,63.41,12.41,5.13,4.05,12.74,1.69,76.69,2.01,4.34
Sidoarjo,80.72,25.78,22.93,75.85,25.65,6.62,14.3,13.32,2.9,73.74,4.03,4.36
Mojokerto,80.36,25.43,11.25,73.18,18.5,5.44,9.14,13.37,2.25,76.44,6.48,2.3
Jombang,74.29,22.63,12.46,80.06,13.68,6.42,5.19,13.45,1.47,81.78,5.46,2.86
Nganjuk,66.48,12.99,6.9,76.01,13.92,4.31,3.86,9.71,1.01,82.08,5.16,3.51
Madiun,79.96,24.42,10.87,76.29,15.38,6.53,7.74,9.11,1.39,82.19,1.81,10.86
Magetan,80.47,21.04,7.77,80.1,17.1,4.33,5.32,7.93,1.36,82.47,16.61,1.89
Ngawi,75.9,22.78,7.4,72.23,17.59,7.55,6.34,11.69,1.77,73.21,5.92,5.45
Bojonegoro,81.71,18.81,7.32,75.92,13.15,4.29,7.96,10.17,1.11,77.28,0.53,4.51
Tuban,84.47,27.07,10.2,72.6,22.4,5.35,5.95,7.13,1.78,81.78,3.08,7.89
Lamongan,72.4,26.07,8.67,76.23,20.39,4.41,6.76,9.36,1,78.63,7.94,10.8
Gresik,78.39,32.15,17.36,83.34,25.27,5.53,12.83,10.75,3.34,78.58,3.99,11.99
Bangkalan,70.83,21.53,5.36,73.64,14.02,3.44,5.37,7.86,2.02,69.2,0.54,10.21
Sampang,59.27,14.3,2.69,76.2,6.97,1.73,1.25,3.86,1.15,74.27,0.64,3.04
Pamekasan,75.47,14.78,9.41,82.1,12.42,2.28,1.91,4.56,0.97,79.45,2.01,9.28
Sumenep,75.44,18.26,9.8,68.97,20.02,4.28,3.74,10.32,1.66,78.27,1.84,17.59
Kediri,78.57,28.85,16.22,86.27,23.13,6.8,11.17,10.64,2.21,87.73,1.61,1.08
Blitar,81.77,36.62,21.65,84.37,25.89,10.29,14.33,11.29,1.45,87.67,2.39,2.7
Malang,82.22,38.52,20.3,84.9,27.31,8.75,19.81,14.65,2.66,82.97,6.86,4.93
Probolinggo,80.06,27.45,10.83,79.98,20.59,4.09,8.46,8.31,0.92,77.36,4.32,7.58
Pasuruan,77.89,40.8,18.06,86.28,28.54,10.13,15.41,14.45,3.33,88.59,24.14,5.54
Mojokerto,78.67,18.88,15.52,84,19.93,6.62,14.04,9.27,1.53,87.09,2.07,5.18
Madiun,85.64,31.7,23.95,84.89,23.5,11.55,20.91,10.97,2.02,88.32,1.56,3.58
Surabaya,84.61,26.46,18.05,76.04,24.12,6.49,16.3,10.52,2.89,78.63,1.53,4.77
Batu,78.56,35.54,16.99,80,26.56,7.49,15.84,12.57,1.55,84.07,15.55,6.89
Jawa Timur,77.17,23.95,11.72,75.38,18.62,5.84,8.51,10.7,1.89,79.69,4.18,6.06
